,bill_gt,year_gt,bill_predict,year_predict,question
43,AB 370,2009,AB 1076,2019,"When did California pass legislation that amended Sections 7028 and 7028.16 of the Business and Professions Code, relating to contractors.? The answer should be formatted as: Year: ,Bill:"
44,SB 1490,2010,AB 107 (2021),2021,"When did California pass legislation that amended Sections 5092, 5094.6, and 5096.12 of the Business and Professions Code, relating to professions and vocations, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
45,AB 20,2009,AB 48,2019,"When did California pass legislation that added Chapter 14.27 (commencing with Section 67325) to Part 40 of Division 5 of Title 3 of the Education Code, relating to public postsecondary education.? The answer should be formatted as: Year: ,Bill:"
46,AB 940,2009,AB 3249,2018,"When did California pass legislation that amended Sections 6212 and 6213 of the Business and Professions Code, relating to attorneys.? The answer should be formatted as: Year: ,Bill:"
47,AB 867,2010,AB 1306,2019,"When did California pass legislation that added and repeal Article 9 (commencing with Section 89280) of Chapter 2 of Part 55 of Division 8 of Title 3 of the Education Code, relating to nursing degrees.? The answer should be formatted as: Year: ,Bill:"
48,AB 2455,2010,AB 102,2021,"When did California pass legislation that amended Sections 800 and 811 of the Military and Veterans Code, relating to military benefits.? The answer should be formatted as: Year: ,Bill:"
49,SB 36,2009,AB 5,2019,"When did California pass legislation that amended Sections 10100, 10140.6, 10150, 10151, 10235.5, and 10236.4 of, to add Article 2.1 (commencing with Section 10166.01) to Chapter 3 of Part 1 of Division 4 of, and to repeal Section 10131.8 of, the Business and Professions Code, to amend Sections 22100, 22101, 22101.5, 22102, 22103, 22104, 22106, 22107, 22108, 22109, 22112, 22151, 22152, 22153, 22154, 22155, 22156, 22157, 22159, 22168, 22169, 22170, 22171, 22700, 50002, 50003, 50120, 50121, 50122, 50123, 50124, 50125, 50126, 50128, 50129, 50130, 50200, 50201, 50202, 50204, 50205, 50206, 50208, 50302, 50307, 50310, 50317, 50318, 50320, 50325, 50333, 50401, 50700, and 50701 of, to add Sections 22012, 22013, 22014, 22105.1, 22105.2, 22105.3, 22105.4, 22109.1, 22109.2, 22109.3, 22109.4, 22109.5, 22109.6, 22172, 22347, 22755, 50002.5, 50003.5, 50003.6, 50209, 50307.2, and 50513 to, to add Chapter 3.5 (commencing with Section 50140) and Chapter 3.6 (commencing with Section 50150) to Division 20 of, and to repeal Sections 50601, 50602, and 50705 of, the Financial Code, and to add Section 18034 to the Health and Safety Code, relating to mortgages, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
50,SB 673,2009,AB 456,2019,"When did California pass legislation that amended Section 15956 of the Public Utilities Code, relating to public utility districts.? The answer should be formatted as: Year: ,Bill:"
51,AB 1059,2009,AB 602,2019,"When did California pass legislation that amended Sections 7113.5, 17027, 17028, 17511.4, 17550.52, 17919, 20021, 22903, and 24071 of the Business and Professions Code, to amend Sections 1785.13, 1786.18, 1788.14, and 1812.206 of the Civil Code, to amend Section 703.130 of the Code of Civil Procedure, to amend Sections 1400, 1401, 1402, 1403, 6110, 6610, 8110, 8610, 9650, 9680, 12560, 12630, 15642, 23005, 25103, 25248, and 28710 of the Corporations Code, to amend Sections 867, 1203, 1781, 1889, 6152, 12307.2, 16202, 16902, 17415, 18477, 31709, 34109, and 50319 of the Financial Code, to amend Section 1058 of the Fish and Game Code, to amend Section 58503.1 of the Food and Agricultural Code, to amend Sections 65863.7 and 65863.12 of the Government Code, to amend Sections 1793.62, 129174.1, 25169.3, 25245, 25359.5, 25359.6, and 25396 of the Health and Safety Code, to amend Section 11655 of the Insurance Code, to amend Section 15643 of the Probate Code, to amend Section 4107 of the Public Contract Code, to amend Section 11923 of the Revenue and Taxation Code, to amend Section 9185 of the Streets and Highways Code, and to amend Section 9859 of the Vehicle Code, relating to bankruptcy.? The answer should be formatted as: Year: ,Bill:"
52,SB 1222,2010,AB 194.,2019,"When did California pass legislation that amended Section 26840.11 of the Government Code, to amend Section 103628 of the Health and Safety Code, and to amend Section 18309.5 of the Welfare and Institutions Code, relating to domestic violence.? The answer should be formatted as: Year: ,Bill:"
53,SB 808,2010,AB 205,2019,"When did California pass legislation that amended Sections 12986 and 12987.5 of the Water Code, relating to water projects, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
54,AB 1315,2010,AB 265,1995,"When did California pass legislation that added Section 716 to the Public Utilities Code, relating to telecommunications.? The answer should be formatted as: Year: ,Bill:"
55,AB 2188,2010,AB 81,2021,"When did California pass legislation that amended Sections 2708 and 3075 of the Unemployment Insurance Code, relating to unemployment insurance, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
56,AB 91,2009,AB 317,2019,"When did California pass legislation that amended Sections 13386 and 23576 of, and to add and repeal Chapter 5 (commencing with Section 23700) of Division 11.5 of, the Vehicle Code, relating to vehicles.? The answer should be formatted as: Year: ,Bill:"
57,SB 140,2009,AB 2470,2019,"When did California pass legislation that added Article 3 (commencing with Section 6940) to Chapter 2 of Part 3 of Division 4 of the Food and Agricultural Code, relating to nurseries, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
58,AB 1890,2010,AB 2219,2018,"When did California pass legislation that amended Section 2080.8 of, and to repeal Section 2080.9 of, the Civil Code, relating to property.? The answer should be formatted as: Year: ,Bill:"
59,SB 548,2009,AB 1714,2019,"When did California pass legislation that amended Section 999.5 of the Military and Veterans Code, relating to veterans.? The answer should be formatted as: Year: ,Bill:"
60,SB 1253,2010,AB 1940,2018,"When did California pass legislation that amended Section 1203.066 of the Penal Code, relating to probation.? The answer should be formatted as: Year: ,Bill:"
61,SB 98,2009,AB 1287,2018,"When did California pass legislation that amended Section 10110.1 of, to add Sections 10113.3 and 10113.35 to, and to repeal and add Sections 10113.1 and 10113.2 of, the Insurance Code, relating to life insurance.? The answer should be formatted as: Year: ,Bill:"
62,AB 1457,2009,AB 1502,2021,"When did California pass legislation that amended Section 1599.64 of, and to add Section 1599.645 to, the Health and Safety Code, relating to long-term health care facilities.? The answer should be formatted as: Year: ,Bill:"
63,AB 1396,2009,AB 37,2021,"When did California pass legislation that repealed and add Chapter 3 (commencing with Section 7150) of Part 2 of Division 7 of the Elections Code, relating to elections.? The answer should be formatted as: Year: ,Bill:"
64,AB 1666,2010,AB 1486,2019,"When did California pass legislation that amended Section 53087.6 of the Government Code, relating to local government.? The answer should be formatted as: Year: ,Bill:"
65,SB 1041,2010,AB 5,2019,"When did California pass legislation that amended Section 1260 of the Evidence Code, relating to hearsay evidence.? The answer should be formatted as: Year: ,Bill:"
66,AB 1373,2010,AB 2138,2018,"When did California pass legislation that added Section 17537.10 to the Business and Professions Code, relating to advertising.? The answer should be formatted as: Year: ,Bill:"
67,AB 2793,2010,AB 2913,2018,"When did California pass legislation that amended Sections 24045.7 and 25503.42 of, and to add Section 23433.5 to, the Business and Professions Code, relating to alcoholic beverages.? The answer should be formatted as: Year: ,Bill:"
68,SB 1413,2010,AB 48,2019,"When did California pass legislation that added Section 38086 to the Education Code, relating to schools.? The answer should be formatted as: Year: ,Bill:"
69,SB 830,2010,AB 1335,2019,"When did California pass legislation that amended Section 653w of the Penal Code, relating to intellectual property.? The answer should be formatted as: Year: ,Bill:"
70,AB 2344,2010,AB 890,2019,"When did California pass legislation that amended Section 2786 of the Business and Professions Code, relating to nursing.? The answer should be formatted as: Year: ,Bill:"
71,AB 1911,2010,AB 1912,2010,"When did California pass legislation that added Chapter 7.5 (commencing with Section 6750) to Division 7 of Title 1 of the Government Code, relating to the Ronald Reagan Centennial Commission, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
72,AB 1748,2010,AB 2913,2018,"When did California pass legislation that amended Section 25608 of the Business and Professions Code, relating to alcoholic beverages.? The answer should be formatted as: Year: ,Bill:"
73,SB 1407,2010,AB 1534,2021,"When did California pass legislation that amended Section 11797 of the Insurance Code, relating to insurance.? The answer should be formatted as: Year: ,Bill:"
74,SB 111,2009,AB 3069,2019,"When did California pass legislation that amended Section 798.44 of, to amend and renumber Sections 798.29.5, 798.38, 798.40, and 798.42 of, to amend and renumber the heading of Article 4 (commencing with Section 798.30) of Chapter 2.5 of Title 2 of Part 2 of Division 2 of, and to add the heading of Article 4 (commencing with Section 798.40) to Chapter 2.5 of Title 2 of Part 2 of Division 2 of, the Civil Code, relating to mobilehome parks.? The answer should be formatted as: Year: ,Bill:"
75,AB 302,2010,AB 1607,2019,"When did California pass legislation that amended Section 8103 of the Welfare and Institutions Code, relating to deadly weapons.? The answer should be formatted as: Year: ,Bill:"
76,AB 2201,2010,AB 2179,2019,"When did California pass legislation that amended Section 19596 of the Business and Professions Code, relating to horse racing.? The answer should be formatted as: Year: ,Bill:"
77,SB 781,2009,AB 3098,2019,"When did California pass legislation that added Section 1569.683 to the Health and Safety Code, relating to residential care facilities for the elderly.? The answer should be formatted as: Year: ,Bill:"
78,AB 1855,2010,AB 516,2019,"When did California pass legislation that amended Section 22511.55 of the Vehicle Code, relating to vehicles.? The answer should be formatted as: Year: ,Bill:"
79,AB 400,2009,AB 133,2021,"When did California pass legislation that amended Section 15849.20 of, and to add Section 15849.23 to, the Government Code, relating to state funds, and making an appropriation therefor.? The answer should be formatted as: Year: ,Bill:"
80,AB 2582,2010,AB 1076,2018,"When did California pass legislation that amended Section 1203.4a of the Penal Code, relating to criminal procedure.? The answer should be formatted as: Year: ,Bill:"
81,AB 2689,2010,AB 361,2021,"When did California pass legislation that amended Section 121690 of the Health and Safety Code, relating to public health, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
82,AB 2087,2010,AB 1714,2019,"When did California pass legislation that amended Section 987.53 of the Military and Veterans Code, relating to veterans.? The answer should be formatted as: Year: ,Bill:"
83,AB 2686,2010,AB 1826,2018,"When did California pass legislation that amended Section 46017 of the Food and Agricultural Code, relating to organic products.? The answer should be formatted as: Year: ,Bill:"
84,AB 138,2009,AB 2105,2018,"When did California pass legislation that amended and repeal Section 5076 of, and to add and repeal Section 5076.1 of, the Business and Professions Code, relating to accountants.? The answer should be formatted as: Year: ,Bill:"
85,SB 251,2009,AB 1505,2017,"When did California pass legislation that amended Sections 65584.05 and 66412 of the Government Code, to amend Sections 18031.7, 18062.9, 33334.14, and 53545.9 of the Health and Safety Code, and to amend Sections 3692.4, 12206, 17058, and 23610.5 of the Revenue and Taxation Code, relating to housing.? The answer should be formatted as: Year: ,Bill:"
86,SB 1244,2010,AB 80,2021,"When did California pass legislation that amended Sections 621 and 13009 of, and to add Sections 623 and 928.7 to, the Unemployment Insurance Code, relating to employment taxes, and making an appropriation therefor.? The answer should be formatted as: Year: ,Bill:"
87,SB 1317,2010,SB 1317,2010,"When did California pass legislation that added Section 48263.6 to the Education Code, and to add Section 270.1 to the Penal Code, relating to truancy.? The answer should be formatted as: Year: ,Bill:"
88,AB 305,2009,AB 733,2019,"When did California pass legislation that amended Section 338.1 of the Code of Civil Procedure, and to amend Section 25515 of the Health and Safety Code, relating to hazardous materials.? The answer should be formatted as: Year: ,Bill:"
89,ABX 89,2010,AB 1591,2017,"When did California pass legislation that amended Section 16965 of the Government Code, to amend Sections 99312, 99314.6, and 99315 of the Public Utilities Code, to add Sections 7102.1 and 7104.4 to, to add and repeal Section 7103.1 of, and to repeal Section 7103 of, the Revenue and Taxation Code, and to amend Sections 183.1 and 2103 of the Streets and Highways Code, relating to transportation, and making an appropriation therefor.? The answer should be formatted as: Year: ,Bill:"
90,AB 48,2009,AB 48,2009,"When did California pass legislation that amended Sections 27, 101, 146, 149, and 473.1 of the Business and Professions Code, to add Chapter 8.5 (commencing with Section 95000) to, and to add and repeal Chapter 8 (commencing with Section 94800) of, Part 59 of Division 10 of Title 3 of the Education Code, relating to private postsecondary education, and making an appropriation therefor.? The answer should be formatted as: Year: ,Bill:"
91,AB 573,2009,AB 361,2021,"When did California pass legislation that added Section 8924.5 to the Government Code, relating to the Legislature, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
92,AB 2461,2010,AB 85,2021,"When did California pass legislation that amended Sections 4750.1 and 9565 of the Vehicle Code, relating to vehicles.? The answer should be formatted as: Year: ,Bill:"
93,SB 1365,2010,AB 262,2019,"When did California pass legislation that amended Section 108555 of the Health and Safety Code, relating to public safety.? The answer should be formatted as: Year: ,Bill:"
94,AB 222,2010,AB 378,2019,"When did California pass legislation that amended Sections 1596.616 and 1596.656 of the Health and Safety Code, relating to child care, and declaring the urgency thereof, to take effect immediately.? The answer should be formatted as: Year: ,Bill:"
95,AB 2302,2010,AB 1313,2019,"When did California pass legislation that added Sections 66721.4, 66721.8, and 66739.6 to the Education Code, relating to postsecondary education.? The answer should be formatted as: Year: ,Bill:"
96,AB 955,2009,AB 392,2019,"When did California pass legislation that amended Section 3304 of the Government Code, relating to public safety officers.? The answer should be formatted as: Year: ,Bill:"
97,AB 1514,2010,AB 571,2019,"When did California pass legislation that amended Section 84218 of the Government Code, relating to the Political Reform Act of 1974.? The answer should be formatted as: Year: ,Bill:"
98,AB 729,2009,AB 456,2019,"When did California pass legislation that amended Sections 20209.12 and 20209.14 of the Public Contract Code, relating to public contracts.? The answer should be formatted as: Year: ,Bill:"
99,AB 239,2009,AB 170.,2017,"When did California pass legislation that amended Sections 44253.3, 44325, 44326, 44328, 44398, 44399, and 44830.3 of, and to repeal Sections 44329 and 44329.5 of, the Education Code, relating to teacher credentialing.? The answer should be formatted as: Year: ,Bill:"
